gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,played,in_dreamteam
2,505,17,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,506,21,0,1,0,0,0,0,0,0,0,0,0,4,True,False
2,507,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,508,14,1,0,0,1,0,0,0,0,0,0,0,6,True,False
2,509,25,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,510,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,511,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,512,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,513,27,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,514,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,515,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,516,90,0,0,0,2,0,0,0,0,0,6,0,3,True,False
2,517,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,518,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,519,90,0,0,0,3,0,0,0,0,0,0,0,2,True,False
2,520,56,0,0,0,2,0,0,0,0,0,0,0,0,True,False
2,521,8,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,522,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,523,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,524,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,525,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,526,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,527,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,528,16,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,529,10,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,530,10,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,531,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,532,45,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,533,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,534,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,535,15,0,0,0,1,0,0,0,0,0,0,0,1,True,False
2,536,1,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,537,3,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,538,31,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,539,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,2,90,0,0,0,3,0,0,0,0,0,2,0,1,True,False
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,4,90,0,1,0,3,0,0,0,0,0,0,2,6,True,False
3,5,90,0,0,0,3,0,0,0,0,0,0,0,1,True,False
3,6,65,0,0,0,2,0,0,0,0,0,0,0,1,True,False
3,7,24,0,0,0,1,0,0,0,0,0,0,0,1,True,False
3,8,29,0,0,0,2,0,0,0,0,0,0,0,0,True,False
3,9,19,0,0,0,1,0,0,0,0,0,0,0,1,True,False
3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,11,90,0,0,0,3,0,0,0,1,0,0,0,1,True,False
3,12,29,0,0,0,2,0,0,0,0,0,0,0,1,True,False
3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,15,90,1,0,0,3,0,0,0,1,0,0,0,6,True,False
3,16,70,0,0,0,2,0,0,0,0,0,0,0,2,True,False
3,17,60,0,0,0,1,0,0,0,0,0,0,0,2,True,False
3,18,24,0,0,0,1,0,0,0,0,0,0,0,1,True,False
3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,55,90,0,0,1,0,0,0,0,0,0,2,0,6,True,False
3,56,90,0,0,1,0,0,0,0,0,0,0,1,7,True,False
3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,58,4,0,0,0,0,0,0,0,0,0,0,0,1,True,False
